,Address,Year built,Zestimate,Baths,Sqft,School_rating,Status,Beds,Heating,Cooling,HomeType,Region,Hoa,TaxAssessedValue
126," 3528 Browntail Way, San Ramon, CA 94582",2006,"$1,256,840",3,"1,606 sqft",9,"Sold: $1,250,000", 3, Forced Air, Central Air, SingleFamily, San Ramon,HOA fee: $128 monthly," $879,146"
127," 30 Eagle Lake Pl UNIT 23, San Ramon, CA 94582",1990,"$1,018,543",2,"2,112 sqft",9,"Sold: $1,013,000", 3, Forced Air, Central Air, Condo, San Ramon,HOA fee: $798 monthly," $962,369"
128," 59 Dunbarton Ct, San Ramon, CA 94583",1986,"$1,810,748",3,"3,176 sqft",9,"Sold: $1,800,000", 4," Zoned, Natural Gas", Zoned, SingleFamily, San Ramon,Has HOA fee: No," $502,544"
129," 2432 Maidenhair Way, San Ramon, CA 94582",2008,"$1,273,776",3,"1,606 sqft",9,"Sold: $1,250,000", 3, Forced Air, Central Air, SingleFamily, San Ramon,HOA fee: $128 monthly," $700,600"
130," 414 Fuchsia Ln, San Ramon, CA 94582",1996,"$1,556,356",3,"2,083 sqft",9,"Sold: $1,550,000", 3, Zoned, Zoned, SingleFamily, San Ramon,HOA fee: $130 monthly," $1,087,500"
131," 213 Glory Lily Ct, San Ramon, CA 94582",2005,"$2,607,282",4,"4,729 sqft",9,Coming soon: Mar 19., 6," Forced air, Gas", Central, SingleFamily, San Ramon,Has HOA fee: Yes," $1,826,359"
132," 89 Tumbleweed Ct, San Ramon, CA 94583",1985,"$1,909,129",2,"2,352 sqft",9,"Sold: $1,880,000", 4," Forced Air, Natural Gas", Central Air, SingleFamily, San Ramon,HOA fee: $40 monthly," $1,172,649"
133," 2 Windmill Ct, San Ramon, CA 94583",2000,"$2,071,471",5,"4,111 sqft",9,"Sold: $2,050,000", 6, Forced air, Central, SingleFamily, San Ramon,Has HOA fee: Yes," $1,716,000"
134," 836 Spring Brook Dr, San Ramon, CA 94582",1994,Est. total selling costs (8%),3,"2,366 sqft",9,"Sold: $1,550,000", 5, Zoned," Ceiling Fan(s), Central Air", SingleFamily, San Ramon,HOA fee: $145 annually," $982,853"
135," 7538 Stoneleaf Rd, San Ramon, CA 94582",2010,"$1,071,562",3,"2,203 sqft",9,"Sold: $1,050,000", 3, Forced Air, Central Air, Condo, San Ramon,HOA fee: $230 monthly," $835,635"
136," 510 Fallen Leaf Cir, San Ramon, CA 94583",1987,"$1,406,248",3,"2,294 sqft",8,"Sold: $1,380,000", 4," Forced Air, Fireplace(s)", Central Air, SingleFamily, San Ramon,Has HOA fee: No," $413,623"
137," 3586 Cinnamon Ridge Rd, San Ramon, CA 94582",2016,"$1,625,852",5,"2,906 sqft",9,"Sold: $1,609,000", 4, Zoned, Zoned, SingleFamily, San Ramon,HOA fee: $103 monthly," $1,478,792"
138," 633 Santander Dr, San Ramon, CA 94583",1979,"$1,663,560",2,"2,070 sqft",9,"Sold: $1,650,000", 4, Forced Air, Central Air, SingleFamily, San Ramon,HOA fee: $310 annually," $825,341"
139," 2850 Via Cordoba, San Ramon, CA 94583",1976,"$1,681,384",3,"2,202 sqft",8,"Sold: $1,650,000", 4," Forced Air, Natural Gas"," Ceiling Fan(s), Central Air, ENERGY STAR Qualified Equipment", SingleFamily, San Ramon,HOA fee: $117 quarterly," $629,994"
140," 7327 Balmoral Way, San Ramon, CA 94582",2007,Est. total selling costs (8%),5,"3,891 sqft",9,"Sold: $2,100,000", 5," Electric, Zoned"," Ceiling Fan(s), Zoned", SingleFamily, San Ramon,Has HOA fee: No," $1,249,288"
141," 1828 Barossa Dr, San Ramon, CA 94582",2002,Est. total selling costs (8%),3,"2,381 sqft",9,"Sold: $1,625,000", 4, Forced Air, Central Air, SingleFamily, San Ramon,Has HOA fee: No," $871,365"
142," 2091 Canyon Crest Ave, San Ramon, CA 94582",1990,"$1,734,440",3,"2,758 sqft",9,"Sold: $1,725,000", 4, Zoned, Zoned, SingleFamily, San Ramon,HOA fee: $27 monthly," $1,071,461"
143," 3438 Browntail Way, San Ramon, CA 94582",2006,"$1,455,222",3,"2,019 sqft",9,"Sold: $1,443,000", 4, Forced Air," Central Air, Other", SingleFamily, San Ramon,HOA fee: $128 monthly," $969,020"
144," 1131 Trumpet Vine Ln, San Ramon, CA 94582",2018,"$2,176,834",4,"2,909 sqft",8,"Sold: $2,150,000", 4, Zoned, Zoned, SingleFamily, San Ramon,HOA fee: $68 monthly," $1,725,126"
145," 3026 Lakemont Dr UNIT 4, San Ramon, CA 94582",1990,"$951,260",2,"1,778 sqft",9,"Sold: $940,000", 3, Natural Gas, Central Air, Condo, San Ramon,HOA fee: $559 monthly," $795,906"
146," 83 Rainbow Bridge Pl, San Ramon, CA 94582",1987,"$1,637,377",3,"2,166 sqft",8,"Sold: $1,610,000", 4," Forced Air, Natural Gas"," Ceiling Fan(s), Central Air", SingleFamily, San Ramon,HOA fee: $181 monthly," $961,932"
147," 2522 Basswood Dr, San Ramon, CA 94582",2005,"$1,723,171",3,"2,809 sqft",9,"Sold: $1,710,000", 4," Forced air, Gas", Central, SingleFamily, San Ramon,Has HOA fee: Yes," $1,237,000"
148," 406 Camberly Ct, San Ramon, CA 94583",2005,"$2,344,909",4,"4,261 sqft",9,"Sold: $2,300,000", 5, Zoned, Zoned, SingleFamily, San Ramon,HOA fee: $175 monthly," $1,880,000"
149," 2612 Paige Way, San Ramon, CA 94582",2006,"$1,828,905",5,"3,686 sqft",9,"Sold: $1,828,888", 4, Zoned, Zoned, SingleFamily, San Ramon,Has HOA fee: No," $1,112,894"
150," 3551 Ashbourne Cir, San Ramon, CA 94583",2003,"$2,915,871",6,"5,303 sqft",9,"Sold: $2,900,000", 4," Zoned, Natural Gas", Zoned, SingleFamily, San Ramon,HOA fee: $175 monthly," $2,029,679"
151," 600 Peaceful Valley Dr, San Ramon, CA 94582",1995,"$1,797,750",3,"2,570 sqft",9,"Sold: $1,780,000", 4, Zoned, Zoned, SingleFamily, San Ramon,HOA fee: $11 monthly," $891,517"
152," 7633 Stellaria Ln, San Ramon, CA 94582",2000,"$1,081,956",3,"1,462 sqft",9,"Sold: $1,075,000", 3, Forced Air," Ceiling Fan(s), Central Air", Townhouse, San Ramon,HOA fee: $277 monthly," $875,913"
153," 3578 Sandalford Way, San Ramon, CA 94582",2004,"$1,511,554",3,"2,962 sqft",9,"Sold: $1,500,000", 4, Zoned, Zoned, SingleFamily, San Ramon,Has HOA fee: No," $1,156,907"
154," 6117 Yardley Ln, San Ramon, CA 94582",2006,"$1,217,016",3,"2,479 sqft",9,"Sold: $1,205,000", 5," Zoned, Natural Gas"," Ceiling Fan(s), Zoned", Townhouse, San Ramon,HOA fee: $294 monthly," $864,884"
155," 3647 Crow Canyon Rd, San Ramon, CA 94582",1987,"$754,822",3,"1,386 sqft",9,"Sold: $740,000", 3, Forced Air, Central Air, Condo, San Ramon,HOA fee: $450 monthly," $609,907"
156," 1530 Cutter Ct, San Ramon, CA 94583",1996,"$820,680",3,"1,579 sqft",9,"Sold: $815,000", 2, Forced Air, Central Air, Townhouse, San Ramon,HOA fee: $385 monthly," $515,146"
